antecedents,consequents,support,confidence,lift
"frozenset({'Attend=High', 'Difficulty=Low', 'Achievement=High'})","frozenset({'Load=Low', 'Teaching=High'})",0.020047670356221636,0.6183282980866064,3.956861844023923
"frozenset({'Teaching=Low', 'Achievement=High'})","frozenset({'Difficulty=Medium', 'Attend=Low'})",0.018774284128383452,0.6270447110141766,3.914492124792333
"frozenset({'Teaching=Medium', 'Achievement=Medium', 'Difficulty=High'})",frozenset({'Load=High'}),0.01593365331243674,0.8187919463087249,3.8402972342415493
"frozenset({'Teaching=Low', 'Load=Low', 'Attend=Low'})","frozenset({'Achievement=Low', 'Difficulty=Low'})",0.023378065105952264,0.4583866837387964,3.835794798597846
"frozenset({'Load=Low', 'Achievement=Low', 'Difficulty=Medium', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.0050608939824338004,0.7788944723618091,3.807693695933779
"frozenset({'Teaching=Medium', 'Difficulty=High', 'Achievement=Medium', 'Attend=Medium'})",frozenset({'Load=High'}),0.0051588467691905835,0.8061224489795918,3.7808747695096416
"frozenset({'Achievement=High', 'Difficulty=High', 'Attend=Low'})","frozenset({'Load=High', 'Teaching=High'})",0.009076958239461913,0.43917851500789895,3.7793538575855354
"frozenset({'Achievement=Medium', 'Attend=High', 'Difficulty=High'})",frozenset({'Load=High'}),0.013419531785679303,0.7996108949416343,3.750334284743864
"frozenset({'Achievement=Medium', 'Difficulty=High', 'Attend=Medium'})",frozenset({'Load=High'}),0.011003363045678649,0.7966903073286051,3.7366361474047762
"frozenset({'Teaching=Low', 'Achievement=High', 'Difficulty=High', 'Attend=Low'})",frozenset({'Load=High'}),0.005909818134325922,0.793859649122807,3.723359796888853
"frozenset({'Teaching=Low', 'Achievement=High', 'Difficulty=High'})",frozenset({'Load=High'}),0.005942469063244849,0.7913043478260869,3.7113749250948795
"frozenset({'Difficulty=High', 'Attend=High', 'Achievement=Medium'})","frozenset({'Load=High', 'Teaching=High'})",0.007215855291083031,0.4299610894941634,3.700033236284839
"frozenset({'Teaching=Medium', 'Difficulty=High', 'Achievement=Medium', 'Attend=Low'})",frozenset({'Load=High'}),0.00577921441865021,0.7866666666666666,3.6896232771822355
"frozenset({'Teaching=Medium', 'Load=High', 'Achievement=Medium', 'Attend=Low'})",frozenset({'Difficulty=High'}),0.00577921441865021,0.4194312796208531,3.6713123180759837
"frozenset({'Achievement=Medium', 'Difficulty=High'})",frozenset({'Load=High'}),0.03940967120514579,0.7807244501940492,3.6617530989422886
"frozenset({'Teaching=Low', 'Achievement=High'})","frozenset({'Load=Medium', 'Attend=Low'})",0.0163581153883828,0.5463467829880044,3.6526878241810987
"frozenset({'Achievement=Low', 'Difficulty=Medium', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.017435596042707415,0.7468531468531469,3.6510568760848088
"frozenset({'Achievement=Low', 'Difficulty=Low', 'Teaching=High'})","frozenset({'Attend=High', 'Load=Low'})",0.016880530251085643,0.47128532360984504,3.634866685016047
"frozenset({'Load=Low', 'Achievement=High', 'Attend=Medium'})","frozenset({'Difficulty=Low', 'Teaching=High'})",0.009795278675678323,0.7281553398058253,3.6338949962902087
"frozenset({'Achievement=Medium', 'Teaching=High', 'Difficulty=High'})",frozenset({'Load=High'}),0.014137852221895713,0.774597495527728,3.6330164617959766
"frozenset({'Load=Low', 'Achievement=High'})","frozenset({'Difficulty=Low', 'Teaching=High'})",0.031769353838116694,0.7196745562130178,3.5915712291243436
"frozenset({'Load=Low', 'Achievement=High'})","frozenset({'Attend=High', 'Difficulty=Low', 'Teaching=High'})",0.020047670356221636,0.45414201183431957,3.5838720423730237
"frozenset({'Difficulty=Low', 'Achievement=High', 'Attend=Medium'})","frozenset({'Load=Low', 'Teaching=High'})",0.009795278675678323,0.5586592178770949,3.5750221199167966
"frozenset({'Achievement=Low', 'Load=Medium', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.01648871910405851,0.7266187050359713,3.5521390389683467
"frozenset({'Achievement=Low', 'Difficulty=Medium', 'Load=Medium', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.009893231462435106,0.7266187050359713,3.5521390389683467
"frozenset({'Achievement=Medium', 'Difficulty=High', 'Attend=Low'})",frozenset({'Load=High'}),0.014986776373787834,0.7536945812807881,3.5349776326013322
"frozenset({'Teaching=Low', 'Attend=Medium'})",frozenset({'Achievement=Low'}),0.015966304241355665,0.6955903271692744,3.5265427826871987
"frozenset({'Difficulty=High', 'Attend=High', 'Teaching=High', 'Achievement=Medium'})",frozenset({'Load=High'}),0.007215855291083031,0.7517006802721088,3.5256258399224927
"frozenset({'Teaching=Low', 'Attend=High'})",frozenset({'Achievement=Low'}),0.0163581153883828,0.6872427983539094,3.484222013770102
"frozenset({'Achievement=Low', 'Difficulty=Low', 'Load=Medium', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.005420054200542005,0.7124463519313304,3.4828562522906394
"frozenset({'Achievement=Low', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.04936820452541875,0.7108603667136812,3.4751030249544956
"frozenset({'Difficulty=Low', 'Achievement=High'})","frozenset({'Load=Low', 'Teaching=High'})",0.031769353838116694,0.5369757174392936,3.4362631211895627
"frozenset({'Teaching=Low', 'Achievement=Medium', 'Difficulty=High'})",frozenset({'Load=High'}),0.009338165670813334,0.7314578005115089,3.4306827038692163
"frozenset({'Teaching=Low', 'Load=Low', 'Difficulty=Low'})",frozenset({'Achievement=Low'}),0.03474058836973912,0.6687617850408548,3.390525937832521
"frozenset({'Achievement=Low', 'Load=Low', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.02866751559081856,0.690251572327044,3.3743551325874503
"frozenset({'Teaching=Low', 'Attend=High', 'Load=Medium'})",frozenset({'Achievement=Low'}),0.007836222940542658,0.6557377049180327,3.324495727284322
"frozenset({'Achievement=Low', 'Difficulty=Low', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.028896072093251055,0.6792018419033001,3.3203375597721267
"frozenset({'Teaching=Low', 'Load=Medium', 'Attend=Medium'})",frozenset({'Achievement=Low'}),0.006726091357299115,0.6518987341772151,3.30503269850117
"frozenset({'Teaching=Low', 'Difficulty=High', 'Achievement=Medium', 'Attend=Low'})",frozenset({'Load=High'}),0.007019949717569465,0.7026143790849674,3.2954013151968296
"frozenset({'Achievement=Low', 'Load=Low', 'Difficulty=Low', 'Attend=Low'})",frozenset({'Teaching=Low'}),0.023378065105952264,0.6729323308270677,3.28968850698174
"frozenset({'Load=High', 'Teaching=Low', 'Achievement=High', 'Difficulty=High'})",frozenset({'Attend=Low'}),0.005909818134325922,0.9945054945054945,3.2159982874268587
"frozenset({'Teaching=Low', 'Achievement=Medium'})","frozenset({'Load=Medium', 'Attend=Low'})",0.044633819832174224,0.4803232607167955,3.211277124202859
"frozenset({'Attend=High', 'Load=Low', 'Achievement=Medium'})","frozenset({'Difficulty=Low', 'Teaching=High'})",0.046625526496228815,0.6426642664266426,3.2072475945655508
"frozenset({'Teaching=Low', 'Achievement=High', 'Difficulty=High'})",frozenset({'Attend=Low'}),0.007444411793515526,0.9913043478260869,3.2056465273856576
"frozenset({'Load=High', 'Teaching=Low', 'Achievement=High'})",frozenset({'Attend=Low'}),0.010513599111894733,0.9907692307692307,3.203916083916084
"frozenset({'Teaching=Low', 'Load=Low'})",frozenset({'Achievement=Low'}),0.041205472295686815,0.6319479218828243,3.2038849534026257
"frozenset({'Load=Low', 'Teaching=High', 'Achievement=High'})","frozenset({'Attend=High', 'Difficulty=Low'})",0.020047670356221636,0.5571687840290381,3.2021783352331306
"frozenset({'Difficulty=Medium', 'Teaching=Low', 'Attend=High'})",frozenset({'Achievement=Low'}),0.006334280210271982,0.6298701298701299,3.193350847133334
"frozenset({'Teaching=Low', 'Achievement=High'})",frozenset({'Attend=Low'}),0.029549090671629606,0.9869138495092693,3.1914486821793253
"frozenset({'Load=High', 'Teaching=High', 'Difficulty=High', 'Attend=Low'})",frozenset({'Achievement=High'}),0.009076958239461913,0.8057971014492754,3.1844061711079945
"frozenset({'Teaching=Low', 'Difficulty=Medium', 'Achievement=High'})",frozenset({'Attend=Low'}),0.018774284128383452,0.9845890410958904,3.1839307952321647
"frozenset({'Teaching=Low', 'Load=Medium', 'Achievement=High'})",frozenset({'Attend=Low'}),0.0163581153883828,0.9842829076620827,3.1829408312708907
