,ID,Class,Title,Year,Semester,course evaluation,attendance rate,learning load,course difficulty,teaching ability,achievement level,recommendation rate
58129,EAES313,00,토양환경광물학(영강),2019,2학기,2.3,1.0,3.5,3.7,4.5,1.7,
58130,EAES312,00,석유지질학,2019,2학기,4.6,0.5,3.1,3.3,3.3,4.4,
58131,EAES308,00,지하수환경학(영강),2019,2학기,3.3,1.0,3.9,4.0,4.7,2.7,
58132,EAES302,00,지체구조학,2019,2학기,3.5,0.5,4.3,3.8,3.2,3.6,
58133,EAES208,00,해양환경학,2019,2학기,3.6,0.75,3.2,3.1,4.1,2.9,
58134,EAES206,00,자연수지구화학,2019,2학기,3.8,1.0,3.9,4.0,5.0,3.4,
58135,EAES204,00,지구물리학,2019,2학기,3.0,1.0,3.0,3.2,4.8,3.1,
58136,EAES202,00,화성암석학(영강),2019,2학기,3.6,0.75,4.1,3.5,3.8,3.7,
58138,MATH476,01,기하학특강,2019,2학기,3.0,0.25,2.5,2.8,1.8,2.5,
58140,MATH462,01,응용정수론,2019,2학기,4.2,0.75,3.7,3.6,4.0,4.2,
58141,MATH374,01,위상수학II,2019,2학기,3.6,1.0,3.8,3.9,4.9,3.9,
58142,MATH372,01,미분기하학Ⅱ,2019,2학기,4.6,0.5,2.9,2.9,2.8,3.7,
58143,MATH362,01,대수학Ⅱ(영강),2019,2학기,4.8,0.25,2.8,2.8,1.8,4.3,
58144,MATH358,01,복소해석학II(영강),2019,2학기,2.8,0.5,3.7,2.8,3.0,2.7,
58145,MATH344,01,확률과정개론,2019,2학기,3.4,0.0,3.5,4.3,1.1,3.0,
58146,MATH343,01,확률과통계및연습,2019,2학기,2.5,0.75,3.6,3.6,4.4,3.2,
58147,MATH342,01,수치해석및연습(영강),2019,2학기,2.6,0.0,4.0,3.8,1.2,2.6,
