ID,Class,Title,Year,Semester,Average Score,Attd_rate,avg_study,avg_diff,avg_performance,avg_satisfaction,recc_rate
HANM251,00,서예의감상과실습I,2023,1학기,4.9,종종함,1.5,1.4,4.7,4.3,73.7%
HANM201,00,맹자읽기I,2023,1학기,4.7,거의안함,3.1,3.0,4.6,3.8,57.1%
HOKA443,00,한국사상사(신설교과목 유사과목 확인 필수),2023,1학기,3.6,매번함,3.7,3.9,3.1,3.1,14.3%
HOKA431,00,한국사회운동사,2023,1학기,4.9,종종함,2.1,1.9,4.6,3.8,78.9%
HOKA343,00,박물관과문화콘텐츠(신설교과목 유사과목 확인 필수),2023,1학기,4.3,매번함,2.8,2.3,4.0,3.8,66.7%
HOKA337,00,북한의한국사연구동향,2023,1학기,4.3,자주함,3.6,3.2,3.7,3.8,57.1%
HOKA241,00,한국사와데이터과학Ⅰ강의실: 서관 223,2023,1학기,4.5,매번함,2.8,3.3,3.3,3.8,50.0%
HOKA237,00,한국사회사(신설교과목 유사과목 확인 필수),2023,1학기,4.3,매번함,2.3,2.2,3.6,3.2,88.9%
HOKA233,00,조선시대사(신설교과목 유사과목 확인 필수),2023,1학기,4.3,종종함,4.3,4.2,4.2,4.2,33.3%
HOKA231,00,한국고대사(신설교과목 유사과목 확인 필수),2023,1학기,4.0,종종함,2.5,2.5,4.0,3.3,16.7%
HOKA217,00,한국근대사,2023,1학기,4.6,종종함,4.0,3.8,3.8,4.2,
HOKA201,02,고적조사실습,2023,1학기,4.3,종종함,2.7,2.9,3.3,3.3,57.1%
HOKA201,01,고적조사실습,2023,1학기,3.9,매번함,3.7,3.0,2.9,4.1,14.3%
HOKA001,00,한국역사입문(신설교과목 유사과목 확인 필수),2023,1학기,3.4,매번함,3.4,3.4,3.1,3.1,
PHIL458,00,철학교과논리및논술,2023,1학기,4.9,매번함,2.0,1.9,3.6,3.4,50.0%
PHIL454,00,한국철학연습,2023,1학기,4.4,종종함,3.6,3.1,4.6,3.9,54.2%
PHIL419,00,서양근세철학특강,2023,1학기,4.3,매번함,3.4,3.6,3.9,3.9,62.1%
PHIL353,00,철학적인간학,2023,1학기,4.5,종종함,3.5,3.2,4.3,4.1,69.9%
PHIL335,00,인도철학사,2023,1학기,3.6,자주함,2.6,2.3,2.9,3.3,35.7%
PHIL334,00,중국송명철학,2023,1학기,3.8,매번함,3.2,2.9,2.8,3.2,44.4%
PHIL321,00,서양고대철학,2023,1학기,3.9,매번함,3.5,3.1,3.4,3.5,39.1%
PHIL224,00,유가철학,2023,1학기,4.2,매번함,3.8,2.9,3.9,3.6,53.8%
PHIL220,00,윤리학,2023,1학기,4.6,자주함,4.4,3.9,4.6,4.4,66.7%
PHIL209,00,기호논리학,2023,1학기,3.9,종종함,4.6,4.6,3.0,3.7,42.4%
PHIL192,00,동양철학개론,2023,1학기,4.1,매번함,4.0,3.6,3.1,4.1,52.8%
CHIN489,00,중국어교과교육론(외국어강의),2023,1학기,4.0,매번함,4.4,4.4,3.6,3.8,40.0%
CHIN485,00,중국문학과영상문화,2023,1학기,4.7,매번함,4.1,3.6,4.2,4.2,64.7%
CHIN453,00,중국어통역연습,2023,1학기,4.3,자주함,3.9,4.1,4.2,4.0,35.7%
CHIN451,00,중국어세미나I(외국어강의),2023,1학기,4.2,자주함,2.8,3.2,3.8,3.3,25.0%
CHIN397,00,중국인문지리,2023,1학기,4.5,매번함,4.2,3.1,4.8,4.0,62.5%
CHIN394,00,인물로보는중국문화,2023,1학기,2.9,매번함,3.6,3.6,2.9,2.7,31.3%
CHIN383,00,중국의공연예술,2023,1학기,4.8,매번함,3.7,2.8,4.4,3.9,55.6%
CHIN341,00,중국고전소설I(외국어강의),2023,1학기,3.6,자주함,4.1,3.7,3.7,3.3,14.3%
